synthetic_notice,contact_id,mode,issue_type,handle_minutes,resolved_flag,repeat_7d,quality_flag
COURSE_SYNTHETIC_NOT_REAL_DATA,T001,script,plan_explanation,12,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T002,script,plan_explanation,10,1,1,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T003,script,balance,9,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T004,script,plan_explanation,14,0,1,fail
COURSE_SYNTHETIC_NOT_REAL_DATA,T005,script,balance,11,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T006,script,account_change,15,1,0,excluded
COURSE_SYNTHETIC_NOT_REAL_DATA,T007,script,plan_explanation,13,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T008,script,balance,10,1,1,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T009,script,plan_explanation,12,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T010,script,plan_explanation,16,0,1,fail
COURSE_SYNTHETIC_NOT_REAL_DATA,T011,assist,plan_explanation,8,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T012,assist,plan_explanation,7,1,1,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T013,assist,balance,6,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T014,assist,plan_explanation,9,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T015,assist,balance,7,0,1,fail
COURSE_SYNTHETIC_NOT_REAL_DATA,T016,assist,account_change,8,1,0,excluded
COURSE_SYNTHETIC_NOT_REAL_DATA,T017,assist,plan_explanation,8,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T018,assist,balance,6,1,1,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T019,assist,plan_explanation,7,1,0,pass
COURSE_SYNTHETIC_NOT_REAL_DATA,T020,assist,plan_explanation,9,1,0,pass
