synthetic_notice,customer_id,month_0_mrr,month_3_mrr,status,segment
COURSE_SYNTHETIC_NOT_REAL_DATA,C001,120,160,active,enterprise
COURSE_SYNTHETIC_NOT_REAL_DATA,C002,95,110,active,midmarket
COURSE_SYNTHETIC_NOT_REAL_DATA,C003,80,92,active,midmarket
COURSE_SYNTHETIC_NOT_REAL_DATA,C004,70,88,active,midmarket
COURSE_SYNTHETIC_NOT_REAL_DATA,C005,65,78,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C006,60,72,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C007,55,64,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C008,50,59,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C009,45,54,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C010,42,49,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C011,40,0,cancelled_before_month_3,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C012,38,46,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C013,36,44,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C014,34,41,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C015,32,39,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C016,30,36,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C017,28,35,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C018,26,31,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C019,24,29,active,smb
COURSE_SYNTHETIC_NOT_REAL_DATA,C020,20,25,active,smb
