synthetic_notice,row_id,buyer_id,buyer_name,eligible_geography,source_verified,strategic_fit,financing_capacity,review_status
COURSE_SYNTHETIC_NOT_REAL_DATA,BS001,B001,Aster Foods,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS002,B002,Banyan Retail,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS003,B003,Cobalt Consumer,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS004,B004,Drift Commerce,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS005,B005,Elm Distribution,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS006,B006,Falcon Brands,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS007,B007,Granite Markets,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS008,B008,Harbor Products,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS009,B009,Indigo Stores,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS010,B010,Juniper Trade,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS011,B011,Kitehouse,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS012,B012,Lumen Retail,1,1,1,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS013,B013,Marble Commerce,1,1,1,fail,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS014,B014,Nimbus Holdings,1,1,1,fail,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS015,B015,Oakline Group,1,1,0,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS016,B016,Pioneer Retail,1,1,0,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS017,B017,Quartz Brands,1,1,0,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS018,B018,Riverstone,1,1,0,pass,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS019,B019,Summit Consumer,1,1,0,fail,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS020,B020,Tamarind Trade,1,1,0,fail,complete
COURSE_SYNTHETIC_NOT_REAL_DATA,BS021,B005,Elm Distribution,1,1,1,pass,duplicate
COURSE_SYNTHETIC_NOT_REAL_DATA,BS022,B021,Umber Retail,1,0,1,pass,unverified
COURSE_SYNTHETIC_NOT_REAL_DATA,BS023,B022,Verde Products,1,1,1,,malformed
COURSE_SYNTHETIC_NOT_REAL_DATA,BS024,B023,Willow Global,0,1,1,pass,out_of_scope
