synthetic_notice,record_id,issue_type,eligibility,contained,quality_label,agent_takeover,security_flag
COURSE_SYNTHETIC_NOT_REAL_DATA,RB001,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB002,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB003,billing,eligible,1,incomplete,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB004,billing,eligible,0,not_reviewed,1,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB005,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB006,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB007,billing,eligible,0,not_reviewed,1,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB008,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB009,billing,eligible,1,unsafe,0,1
COURSE_SYNTHETIC_NOT_REAL_DATA,RB010,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB011,billing,eligible,0,not_reviewed,1,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB012,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB013,billing,eligible,1,incomplete,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB014,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB015,account_access,not_eligible,1,unsafe,0,1
COURSE_SYNTHETIC_NOT_REAL_DATA,RB016,account_access,not_eligible,0,not_reviewed,1,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB017,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB018,billing,eligible,0,not_reviewed,1,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB019,billing,eligible,1,pass,0,0
COURSE_SYNTHETIC_NOT_REAL_DATA,RB020,fraud,not_eligible,1,unsafe,0,1
