synthetic_notice,row_id,shipment_id,event_id,carrier,delay_days,buffer_days,record_status,cause_note
COURSE_SYNTHETIC_NOT_REAL_DATA,1,S101,E1,X,4,2,valid,port congestion
COURSE_SYNTHETIC_NOT_REAL_DATA,2,S102,E1,Y,1,3,valid,late pickup
COURSE_SYNTHETIC_NOT_REAL_DATA,3,S103,E1,X,5,1,valid,customs hold
COURSE_SYNTHETIC_NOT_REAL_DATA,4,S104,E1,Z,2,2,valid,weather
COURSE_SYNTHETIC_NOT_REAL_DATA,5,S105,E1,X,3,0,valid,capacity
COURSE_SYNTHETIC_NOT_REAL_DATA,6,S106,E1,Y,0,4,valid,on schedule
COURSE_SYNTHETIC_NOT_REAL_DATA,7,S107,E1,X,6,5,valid,port congestion
COURSE_SYNTHETIC_NOT_REAL_DATA,8,S108,E1,Z,3,1,valid,weather
COURSE_SYNTHETIC_NOT_REAL_DATA,9,S109,E1,Y,2,4,valid,late pickup
COURSE_SYNTHETIC_NOT_REAL_DATA,10,S110,E1,X,7,2,valid,customs hold
COURSE_SYNTHETIC_NOT_REAL_DATA,11,S111,E1,Z,1,0,valid,weather
COURSE_SYNTHETIC_NOT_REAL_DATA,12,S112,E1,Y,4,4,valid,capacity
COURSE_SYNTHETIC_NOT_REAL_DATA,13,S113,E1,X,5,3,valid,port congestion
COURSE_SYNTHETIC_NOT_REAL_DATA,14,S114,E1,Z,2,1,valid,weather
COURSE_SYNTHETIC_NOT_REAL_DATA,15,S115,E1,Y,3,5,valid,late pickup
COURSE_SYNTHETIC_NOT_REAL_DATA,16,S116,E1,X,4,1,valid,capacity
COURSE_SYNTHETIC_NOT_REAL_DATA,17,S103,E1,X,5,1,valid,duplicate message
COURSE_SYNTHETIC_NOT_REAL_DATA,18,S117,E1,Z,,2,malformed,missing delay
COURSE_SYNTHETIC_NOT_REAL_DATA,19,S118,E1,Y,2,,malformed,missing buffer
COURSE_SYNTHETIC_NOT_REAL_DATA,20,S119,E1,X,6,2,valid,customs hold
