synthetic_notice,exposure_id,participant_id,attempt_id,variant,audience_eligible,consent_valid,internal_qa,qualified_response,claim_check,completed_action
COURSE_SYNTHETIC_NOT_REAL_DATA,MR001,P001,T1,A,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR002,P002,T1,A,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR003,P003,T1,A,1,1,0,0,pass,0
COURSE_SYNTHETIC_NOT_REAL_DATA,MR004,P004,T1,A,1,1,0,0,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR005,P005,T1,A,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR006,P006,T1,A,1,1,0,0,pass,0
COURSE_SYNTHETIC_NOT_REAL_DATA,MR007,P007,T1,A,1,1,0,0,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR008,P008,T1,A,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR009,P009,T1,A,1,1,0,0,pass,0
COURSE_SYNTHETIC_NOT_REAL_DATA,MR010,P010,T1,A,1,1,0,0,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR011,P011,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR012,P012,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR013,P013,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR014,P014,T1,B,1,1,0,0,pass,0
COURSE_SYNTHETIC_NOT_REAL_DATA,MR015,P015,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR016,P016,T1,B,1,1,0,0,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR017,P017,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR018,P018,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR019,P019,T1,B,1,1,0,1,fail,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR020,P020,T1,B,1,1,0,0,pass,0
COURSE_SYNTHETIC_NOT_REAL_DATA,MR021,QA01,T1,B,1,1,1,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR022,P022,T1,B,1,0,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR023,P015,T1,B,1,1,0,1,pass,1
COURSE_SYNTHETIC_NOT_REAL_DATA,MR024,P024,T1,A,0,1,0,0,pass,0
