item_id,pathway_pack_id,artifact_type,evidence_class,public_state,source_or_run_id
D-1,S09-FIN-CF-PACK-01,case_page,synthetic,public,run-fpna-1
D-2,S09-FIN-CF-PACK-01,config,synthetic,public,repo-demo-2
D-3,S09-FIN-CF-PACK-01,brand_asset,adapted,public,asset-demo-3
H-IB-1,S09-FIN-IB-PACK-01,model,synthetic,private,src-ib-4
H-HR-1,S09-HR-PACK-01,attempt_log,synthetic,public,run-hr-6
H-MKT-1,S09-MKT-PACK-01,generated_asset,synthetic,public,asset-mkt-2
H-DATA-1,S09-DATA-PACK-01,dataset,synthetic,private,data-7
H-CONS-1,S09-CONS-PACK-01,calculation,synthetic,private,calc-cons-8
H-FOCOS-1,S09-FOCOS-PACK-01,decision_log,synthetic,public,log-focos-2
H-PM-1,S09-PM-PACK-01,run_receipt,synthetic,public,run-pm-5
H-VC-1,S09-FIN-VC-PACK-01,claim_ledger,synthetic,public,src-vc-3
H-CF-1,S09-FIN-CF-PACK-01,model,synthetic,private,model-cf-4
H-SCO-1,S09-SCO-PACK-01,event_log,synthetic,public,run-sco-6
H-SALES-1,S09-SALES-PACK-01,account_plan,synthetic,public,src-sales-5
