import_schema_version,assessment_id,assessment_version_id,source_id,source_version_id,source_path,source_content_sha256,session_no,assessment_class,activation_rule,answer_release_rule,time_limit_seconds,item_id,item_version_id,item_order,outcome_ids,demand,difficulty,item_time_seconds,prompt,response_type,rationale_required,rationale_min_words,rationale_max_words,shuffle_options,volatile,stale_check_rule,accessible_artifact_id,accessible_text,accessible_table_json,option_id,option_order,option_text
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-01,S3-VIZ-01@1,1,S3-O5,,moderate,120,A founder wants to compare `revenue_30d_usd` for 20 shortlisted startups and identify the top five quickly.,single_choice_plus_rationale,True,40,80,True,True,stale if the scenario/data-shape contract changes,S3-VIZ-01-A11Y@1,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison","{""headers"":[""Example startup"",""Revenue, last 30 days (USD)""],""rows"":[[""Atlas Forms"",""29,800""],[""BriefPilot"",""21,400""],[""CartSignal"",""18,900""],[""DeskMint"",""11,250""],[""EchoKit"",""8,700""]]}",S3-VIZ-01-PIE20,1,Pie chart with 20 slices
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-01,S3-VIZ-01@1,1,S3-O5,,moderate,120,A founder wants to compare `revenue_30d_usd` for 20 shortlisted startups and identify the top five quickly.,single_choice_plus_rationale,True,40,80,True,True,stale if the scenario/data-shape contract changes,S3-VIZ-01-A11Y@1,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison","{""headers"":[""Example startup"",""Revenue, last 30 days (USD)""],""rows"":[[""Atlas Forms"",""29,800""],[""BriefPilot"",""21,400""],[""CartSignal"",""18,900""],[""DeskMint"",""11,250""],[""EchoKit"",""8,700""]]}",S3-VIZ-01-SORTED-BAR,2,Sorted horizontal bar chart
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-01,S3-VIZ-01@1,1,S3-O5,,moderate,120,A founder wants to compare `revenue_30d_usd` for 20 shortlisted startups and identify the top five quickly.,single_choice_plus_rationale,True,40,80,True,True,stale if the scenario/data-shape contract changes,S3-VIZ-01-A11Y@1,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison","{""headers"":[""Example startup"",""Revenue, last 30 days (USD)""],""rows"":[[""Atlas Forms"",""29,800""],[""BriefPilot"",""21,400""],[""CartSignal"",""18,900""],[""DeskMint"",""11,250""],[""EchoKit"",""8,700""]]}",S3-VIZ-01-ROW-LINE,3,Line chart in current row order
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-01,S3-VIZ-01@1,1,S3-O5,,moderate,120,A founder wants to compare `revenue_30d_usd` for 20 shortlisted startups and identify the top five quickly.,single_choice_plus_rationale,True,40,80,True,True,stale if the scenario/data-shape contract changes,S3-VIZ-01-A11Y@1,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison","{""headers"":[""Example startup"",""Revenue, last 30 days (USD)""],""rows"":[[""Atlas Forms"",""29,800""],[""BriefPilot"",""21,400""],[""CartSignal"",""18,900""],[""DeskMint"",""11,250""],[""EchoKit"",""8,700""]]}",S3-VIZ-01-COUNTRY-MAP,4,Choropleth map by country
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-02,S3-VIZ-02@1,2,S3-O5,,moderate,120,An analyst wants to see whether `visitors_30d` and `revenue_30d_usd` move together among records where both values are present.,single_choice_plus_rationale,True,40,80,True,True,stale if field coverage/semantics change,S3-VIZ-02-A11Y@1,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields","{""headers"":[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""],""rows"":[[""R1"",""1,200"",""900""],[""R2"",""4,800"",""3,600""],[""R3"",""9,500"",""4,100""],[""R4"",""11,000"",""17,500""],[""R5"",""24,000"",""6,300""]]}",S3-VIZ-02-SCATTER,1,"Scatter plot, one mark per complete record"
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-02,S3-VIZ-02@1,2,S3-O5,,moderate,120,An analyst wants to see whether `visitors_30d` and `revenue_30d_usd` move together among records where both values are present.,single_choice_plus_rationale,True,40,80,True,True,stale if field coverage/semantics change,S3-VIZ-02-A11Y@1,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields","{""headers"":[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""],""rows"":[[""R1"",""1,200"",""900""],[""R2"",""4,800"",""3,600""],[""R3"",""9,500"",""4,100""],[""R4"",""11,000"",""17,500""],[""R5"",""24,000"",""6,300""]]}",S3-VIZ-02-PROVIDER-STACK,2,100% stacked bar by payment provider
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-02,S3-VIZ-02@1,2,S3-O5,,moderate,120,An analyst wants to see whether `visitors_30d` and `revenue_30d_usd` move together among records where both values are present.,single_choice_plus_rationale,True,40,80,True,True,stale if field coverage/semantics change,S3-VIZ-02-A11Y@1,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields","{""headers"":[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""],""rows"":[[""R1"",""1,200"",""900""],[""R2"",""4,800"",""3,600""],[""R3"",""9,500"",""4,100""],[""R4"",""11,000"",""17,500""],[""R5"",""24,000"",""6,300""]]}",S3-VIZ-02-VISITOR-DONUT,3,Donut chart of visitor totals
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-02,S3-VIZ-02@1,2,S3-O5,,moderate,120,An analyst wants to see whether `visitors_30d` and `revenue_30d_usd` move together among records where both values are present.,single_choice_plus_rationale,True,40,80,True,True,stale if field coverage/semantics change,S3-VIZ-02-A11Y@1,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields","{""headers"":[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""],""rows"":[[""R1"",""1,200"",""900""],[""R2"",""4,800"",""3,600""],[""R3"",""9,500"",""4,100""],[""R4"",""11,000"",""17,500""],[""R5"",""24,000"",""6,300""]]}",S3-VIZ-02-CORRELATION-KPI,4,Single KPI card showing correlation
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-03,S3-VIZ-03@1,3,S3-O5,,moderate,120,"A classmate asks what the distribution of `mrr_usd` looks like, including zeros and extreme values.",single_choice_plus_rationale,True,40,80,True,True,stale if MRR/zero semantics change,S3-VIZ-03-A11Y@1,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data","{""headers"":[""MRR range (USD)"",""Illustrative count""],""rows"":[[""Exactly 0"",""31""],[""1–999"",""42""],[""1,000–9,999"",""19""],[""10,000–49,999"",""6""],[""50,000+"",""2""]]}",S3-VIZ-03-HISTOGRAM,1,Histogram with an explicit zero bin and a stated scale choice
mu-lms-assessment-import/1.0,assess_s3_visuals_v1,assess_s3_visuals_v1,lms.course.session-03.visualization-quiz,assess_s3_visuals_v1,lms/course/session-03/visualization-quiz.md,e71b502edc4ab7d4490915985557a1c835982a67e739f3ea705596cf27f24fdd,3,formative_mixed_scenario,opens at 01:39 and closes at 01:54 per section,attempt receipt only until the last participating section using this assessment version closes,900,S3-VIZ-03,S3-VIZ-03@1,3,S3-O5,,moderate,120,"A classmate asks what the distribution of `mrr_usd` looks like, including zeros and extreme values.",single_choice_plus_rationale,True,40,80,True,True,stale if MRR/zero semantics change,S3-VIZ-03-A11Y@1,"MRR is quantitative and strongly right-skewed. Many records are zero or below $1,000, fewer sit between $1,000 and $10,000, and a small tail is above $50,000. Zero is a valid observed value in this scenario, not missing data","{""headers"":[""MRR range (USD)"",""Illustrative count""],""rows"":[[""Exactly 0"",""31""],[""1–999"",""42""],[""1,000–9,999"",""19""],[""10,000–49,999"",""6""],[""50,000+"",""2""]]}",S3-VIZ-03-VALUE-PIE,2,Pie chart of every distinct MRR value
