import_schema_version,assessment_id,assessment_version_id,source_id,source_version_id,source_path,source_content_sha256,session_no,assessment_class,activation_rule,answer_release_rule,time_limit_seconds,item_id,item_version_id,item_order,outcome_ids,demand,difficulty,item_time_seconds,prompt,response_type,rationale_required,rationale_min_words,rationale_max_words,shuffle_options,volatile,stale_check_rule,accessible_artifact_id,accessible_text,accessible_table_json,option_id,option_order,option_text
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q1,S4-Q1@1,1,S4-O1,Product-selection judgment,,45,Three products have credible revenue. Which is the strongest one-hour classroom target?,single_choice,False,,,True,False,"Revenue examples, not key",,,,S4-Q1-FEATURE-LIST,1,The one with the longest official feature list
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q1,S4-Q1@1,1,S4-O1,Product-selection judgment,,45,Three products have credible revenue. Which is the strongest one-hour classroom target?,single_choice,False,,,True,False,"Revenue examples, not key",,,,S4-Q1-END-TO-END,2,The one whose valuable end-to-end behavior can be built and verified within the real constraints
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q1,S4-Q1@1,1,S4-O1,Product-selection judgment,,45,Three products have credible revenue. Which is the strongest one-hour classroom target?,single_choice,False,,,True,False,"Revenue examples, not key",,,,S4-Q1-HIGHEST-MRR,3,"The one with the highest MRR, regardless of architecture"
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q1,S4-Q1@1,1,S4-O1,Product-selection judgment,,45,Three products have credible revenue. Which is the strongest one-hour classroom target?,single_choice,False,,,True,False,"Revenue examples, not key",,,,S4-Q1-VISUAL,4,The one with the most visually impressive landing page
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q2,S4-Q2@1,2,S4-O2,Truthful mock boundary,,45,Which implementation treats an unavailable Instagram integration honestly?,single_choice,False,,,True,False,No,,,,S4-Q2-TIMER-CONNECTED,1,Show “Connected” after a timer so the flow feels complete
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q2,S4-Q2@1,2,S4-O2,Truthful mock boundary,,45,Which implementation treats an unavailable Instagram integration honestly?,single_choice,False,,,True,False,No,,,,S4-Q2-PRESENTATION-ONLY,2,Remove the label but explain the mock in the final presentation
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q2,S4-Q2@1,2,S4-O2,Truthful mock boundary,,45,Which implementation treats an unavailable Instagram integration honestly?,single_choice,False,,,True,False,No,,,,S4-Q2-PASTE-PASSWORD,3,Ask the student to paste their Instagram password
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q2,S4-Q2@1,2,S4-O2,Truthful mock boundary,,45,Which implementation treats an unavailable Instagram integration honestly?,single_choice,False,,,True,False,No,,,,S4-Q2-LABELLED-FIXTURE,4,Load fictional posts and label the action “Demo import — no Instagram connection”
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q3,S4-Q3@1,3,S4-O3,First-prompt diagnosis,,50,Which addition most improves a vague first prompt?,single_choice,False,,,True,False,No,,,,S4-Q3-OPERATING-CONTRACT,1,"A specific user/job, state/actions, failure boundaries and observable acceptance tests"
mu-lms-assessment-import/1.0,quiz_s4_product-build-judgment,S4-SQ-v1,lms.course.session-04.student-quiz,S4-SQ-v1,lms/course/session-04/12-student-quiz.md,ce0b823cb5aac44137a549850401ae48546f49c08f44cd52a36e443217b53a54,4,counted_surprise_candidate_or_retention_check,"dormant by default; when armed, replaces the protected 04–10 retrieval-prediction row",attempt receipt only until the last participating section using S4-SQ-v1 closes,360,S4-Q3,S4-Q3@1,3,S4-O3,First-prompt diagnosis,,50,Which addition most improves a vague first prompt?,single_choice,False,,,True,False,No,,,,S4-Q3-WORLD-CLASS,2,“Make it world-class”
