- banner:
  - link "Premiere":
    - /url: /premiere
    - generic: movie_filter
  - link "mumb.ai":
    - /url: /
  - link "Your collection":
    - /url: /revealed
    - generic: account_circle
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "Unrevealed pin":
  - generic: question_mark
- button "All Pins":
  - generic: public
  - text: All Pins
- button "Star Homes":
  - generic: star
  - text: Star Homes
- button "Shot Here":
  - generic: videocam
  - text: Shot Here
- text: "0"
- generic: /50
- navigation:
  - link "Map":
    - /url: /
    - generic: explore
    - generic: Map
  - link "Revealed":
    - /url: /revealed
    - generic: list_alt
    - generic: Revealed
  - link "Daily":
    - /url: /daily
    - generic: today
    - generic: Daily
  - link "Premiere":
    - /url: /premiere
    - generic: stars
    - generic: Premiere
- complementary "Edit with Lovable":
  - link "Edit with Lovable":
    - /url: https://lovable.dev/projects/lovp_1ytvd42cqb8y2b6dh1zj698xx8?utm_source=lovable-badge
    - generic: Edit with
  - button "Dismiss":
